"acronyme","coursGrp","nomCours"
"MAT","4 GT:FR5-04",
"MEL","1C:ACPL2-02",
"MEL","1C:EDAR1-05",
"MEL","1C:EDAR1-06",
"MEL","1C:EDAR1-07",
"MEL","1C:EDAR1-08",
"MEL","1S:EDAR1-05",
"MEL","1S:EDAR1-06",
"MEL","1S:EDAR1-07",
"MEL","1S:EDAR1-08",
"MEL","2C:EXAR2-02",
"MON",":SEHC-",
"MON",":SUED-",
"MOR","4 GT:EDPM4-01",
"MOR","4 TT:BIO2-01",
"MOR","5 GT:EDPM2-01",
"MOR","5 GT:EDPM4-01",
"MOR","5 TT:BIO2-01",
"MOR","5 TT:EDPM2-01",
"MOR","5 TT:EDPM4-01",
"MOR","6 GT:EDPM2-01",
"MOR","6 GT:EDPM2-02",
"MOR","6 GT:EDPM4-01",
"MOR","6 TT:BIO2-01",
"MOR","6 TT:EDPM2-01",
"MOR","6 TT:EDPM4-01",
"MUL","5 TQ:EDSA3-05",
"MUL","5 TQ:EDSA3-06",
"MUL","5 TQ:PSY3-05",
"MUL","5 TT:PSY2-01",
"MUL","6 TQ:EDSA2-05",
"MUL","6 TQ:PSY3-05",
"NOL","4 GT:REL2-04",
"NOL","5 GT:REL2-04",
"NOL","6 GT:REL2-01",
"NOL","6 GT:REL2-02",
"NOL","6 GT:REL2-03",
"NOL","6 GT:REL2-04",
"NOL","6 TT:REL2-01",
"PAL","1C:FR6-07",
"PAL","1S:FR6-06",
"PAL","1S:FR6-07",
"PAL","2C:ACFR2-08",
"PAL","2C:ACFR2-5a",
"PAL","2C:ACFR2-5b",
"PAL","2C:FR5-05",
"PAL","2C:FR5-08",
"PHI","1C:ACJR2-01",
"PHI","3 GT:SCSO4-03",
"PHI","5 TQ:AIP2-06",
"PHI","5 TQ:SOC2-05",
"PHI","5 TQ:STA4-07",
"PHI","5 TQ:TEED3-05",
"PHI","6 TQ:AIP2-06",
"PHI","6 TQ:SOC2-05",
"PHI","6 TQ:STAG4-05",
"PHI","6 TQ:STAG4-07",
"PIR",":SUED-",
"RAV","2C:LAT4-01",
"RAV","3 GT:LAT4-01",
"RAV","3 GT:LAT4-02",
"RAV","6 GT:LAT4-02",
"REN","4 GT:ANG4-02",
"REN","4 GT:NL4-03",
"REN","5 GT:NL4-02",
"REN","6 GT:ANG4-02",
"REN","6 GT:NL4-04",
"ROG","1D:ACSP2-11",
"ROG","1D:EDPM3-11",
"ROG","2C:EDPM3-92",
"ROG","2C:EDPM3-93",
"ROG","2D:ACSP2-21",
"ROG","2D:EDPM3-21",
"ROG","2S:EDPM3-04",
"ROG","2S:SPOR2-4a",
"ROS","1C:EDPF3-02",
"ROS","1C:EDPF3-05",
"ROS","1C:EDPF3-92",
"ROS","1S:EDPF3-02",
"ROS","2C:EDPF3-01",
"ROS","2C:EDPF3-03",
"ROS","2C:EDPF3-04",
"ROS","2S:EDPF3-04",
"ROS","2S:EDPF3-10",
"ROS","2S:SPOR2-4b",
"SAM","3 GT:GEO2-02",
"SAM","3 GT:GEO2-03",
"SAM","3 GT:GEO2-04",
"SAM","3 GT:GEO2-05",
"SAM","3 GT:SC3-01",
"SAM","3 GT:SC3-02",
"SAM","3 GT:SC3-04",
"SAM","3 GT:SC5-2a",
"SCN",":SUED-",
"SCO",":COMI-",
"AMS",":DIRE-",
"STE","4 GT:ANG4-04",
"STE","4 TT:ANG2-01",
"STE","4 TT:NL4-01",
"STE","5 GT:FRRE2-04",
"STE","5 GT:NL4-04",
"STE","5 TQ:NL2-05",
"STE","6 GT:ANG2-01",
"STE","6 TT:ANG2-01",
"TAH","1C:REMFR-91",
"TAH","1C:REMFR-92",
"TAH","1C:REMFR-93",
"TAH","1C:REMFR-94",
"TAH","2C:COIN-00",
"TAH","2S:FR5-04",
"TAH","2S:GCPP-04",
"TAH","5 TQ:SCHU2-05",
"TIB","1C:EDM4-07",
"TIB","1S:EDM4-07",
"TIB","2C:EDM4-07",
"TIB","2C:EDM4-08",
"TIB","2S:EDM4-10",
"TIB","3 GT:HIS2-06",
"TIB","4 GT:HIS2-04",
"TIB","4 TT:HIS2-01",
"TIG","4 GT:MATH5-04",
"TIG","4 GT:MATH5-05",
"TIG","5 GT:MATH4-03",
"VAR","1C:ACSP2-01",
"VAR","1C:EDPM3-02",
"VAR","1C:EDPM3-92",
"VAR","1S:EDPM3-02",
"VAR","2C:EDPM3-02",
"VAR","2S:EDPM3-10",
"VAR","3 GT:EDPM2-01",
"VAR","3 GT:EDPM2-02",
"VAR","3 GT:EDPM4-01",
"VAR","3 TT:EDPM2-01",
"VAR","4 GT:EDPM2-01",
"VAR","4 TT:EDPM2-01",
"VCA",":SUED-",
"VDB","1C:FR6-02",
"VDB","2C:COIN-00",
"VDB","2C:FR5-03",
"VDB","2C:FR5-06",
"VDB","2C:FR5-11",
"VDG","1C:NL4-06",
"VDG","1S:NL4-06",
"VDG","2C:ACNL2-2a",
"VDG","2C:ACNL2-2b",
"VDG","2C:NL4-02",
"VDG","2C:NL4-08",
"VDG","3 GT:ANG2-03",
"VDG","3 GT:ANG4-05",
"VHA",":REDA-",
"VHR","1C:REL2-06",
"VHR","1C:REL2-07",
"VHR","1S:REL2-04",
"VHR","1S:REL2-06",
"VHR","1S:REL2-07",
"VHR","4 GT:HIS2-02",
"VHR","4 GT:HIS2-03",
